Career,Skill
Security,"Network Security, Artificial Intelligence and Machine learning"
Artificial Intelligence,Internet of Things
Artificial Intelligence,"Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning"
User Experience (UX) and User Interface (UI) Design,"UI/UX Knowledge, UI/UX Related Job, Graphic Design"
Development,"System Design, Game Development, Web Based Projectdevelop, Image Managements"
Software Development and Engineering,"Web Development, Mobile App Development, Problemsolvingosthingestiring, Database Development, Ui/Ux Knowledge, Graphic Design, Editing and Writing, Illustration and Design, Working with Technology and New Idea Generate, Communication, Interpersonal Skills, Adaptability, Research on Artificial Intelligence and Machine learning, Watching movies, Working with new idea"
Development,Mobile App Development
Data Science,"Data Engineering, Data Analysis and Visualization, Blogging, Data Structure, DATA JEST"
Development,"Web Development, Game Development"
Development,Web Development
Development,"Mobile App Development, Android App Develop"
Artificial Intelligence,"Research on Artificial Intelligence and Machine learning, Artificial Intelligence (AI) and Machine Learning"
Development,Web Development
Security,"Cybersecurity, Data Engineering, Network Security"
Data Science,"Deep Learning, Machine Learning, Data Engineering, Statistical Analysis, Data Analysis and Visualization, Database Development, Problem Solving and Analysis, Operating Systems and Networking"
Development,Web Development
User Experience (UX) and User Interface (UI) Design,"UI/UX Knowledge, Graphic Design"
Software Development and Engineering,Database Development
Data Science,"Problem Solving and Analysis, Data Engineering, System Design"
Security,"Cybersecurity, Project Management, Cloud Computing, Network Security"
Artificial Intelligence,Research on Artificial Intelligence and Machine learning
User Experience (UX) and User Interface (UI) Design,"Graphic Design, UI/UX Knowledge"
Software Development and Engineering,"Mobile App Development, Game Development, Blockchain, Artificial Intelligence (AI), Deep Learning, Machine Learning, Feature Engineering, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Cybersecurity, Cryptograph, Database Development, Problem Solving and Analysis, Software Quality Testing, Performance Testing, Data Structure, Critical Thinking, Interpersonal Skills, Adaptability"
User Experience (UX) and User Interface (UI) Design,"UI/UX Related Job, Working with Technology and New Idea Generate"
Software Development and Engineering,"Web Development, Mobile App Development, Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Cryptographic Tools, Web based project develop, Android App Develop"
Development,"Web Development, API Testing, API Knowledge, Web based project develop"
Development,"System Design, Game Development, Web Based Project develop, Image Processing, Software Testing Related Work"
Security,"Operating Systems and Networking, Computer Network, System Design, Project Management, Cloud Computing"
Development,"Game Development, Android App Develop, Research on Block Chain"
Data Science,"Deep Learning, Machine Learning, Feature Engineering, Datadic, Data Engineer, Solution Developer, Working with Robotics"
Artificial Intelligence,"Blockchain, Artificial Intelligence (AI), Deep Learning, Machine Learning, Data Engineering, Statistical Analysis, Scientific Computing"
Security,"Network Security, Network Topologies, Communication"
Development,"Web Development, Mobile App Development, Problem Solving and Analysis, Graphic Design, Search Engine Optimization (SEO)"
Data Science,"Machine Learning, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Problem Solving and Analysis, Data Structure, Data Science"
Data Science,"Machine Learning, Feature Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Problem Solving and Analysis, Data Structure, Data Science"
Development,"Web Development, Mobile App Development, Game Development, Problem Solving and Analysis"
Artificial Intelligence,"Robotics Knowledge, Internet of Things, Artificial Intelligence (AI) and Machine Learning"
Artificial Intelligence,"Artificial Intelligence (AI), Machine Learning, Big Data Technologies, Data Engineering, Statistical Analysis, Research on Artificial Intelligence and Machine learning on different field of science"
Data Science,"Deep Learning, Machine Learning, Feature Engineering, Data Structure, Data Analysis and Visualization"
Development,"Web Development, Android App Develop"
Software Development and Engineering,"Web development, Artificial Intelligence (AI), Data Analysis and Visualization, Cybersecurity, Database Development, Network Security, Problem Solving and Analysis, Operating Systems and Networking, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Software Quality Assurance, Api testing"
Artificial Intelligence,"Artificial Intelligence (AI) and Machine Learning, Android App Develop, Research on Artificial Intelligence and Machine learning"
Development,"Mobile App Development, Game Development, Problem Solving and Analysis, Project Management, UI/UX Knowledge, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Android App Develop,"
Development,"Game Development, Mobile App Development, Database Development, System Design, Project Management, Cloud Computing, Website Build, Working with Technology and New Idea Generate, Communication, Interpersonal Skills, Web based project develop"
Security,"Operational Training, Artificial Intelligence and Machine learning"
User Experience (UX) and User Interface (UI) Design,"Graphic Design, Video Editing & Animation, Illustration & Design, Photography, Painting"
Data Science,"Statistical Analysis, Data Analysis and Visualization, Data Structure"
Data Science,"Problemsolving and analytical, Data Engineering, Data Analysis and Visualization, Critical Thinking, Interpersonal Skills, Data Analysis and Visualization difficult cases"
Security,"Cyber Security, Project Management, Communication, Critical Thinking, Adaptability, Working with new idea"
Artificial Intelligence,"Machine Learning, Feature Engineering, Big Data Technologies, Robotics Knowledge, Internet of Things, Work with Technology and New Idea Generate, Critical Thinking, Blockchain, Machine Learning"
Data Science,"Deep Learning, Machine Learning, Statistical Analysis, Data Analysis and Visualization, Critical Thinking, Artificial Intelligence and Machine learning,"
User Experience (UX) and User Interface (UI) Design,"UI/UX Related Job, Working with Technology and New Idea Generate"
Data Science,"Data Analysis and Visualization, Problem Solving and Analysis, Communication, Big Data Technologies, Feature Engineering, Statistical Analysis"
Development,"System Design, Web Development, Web Based Projectdevelop"
Software Development and Engineering,Database Development
Data Science,"Data Analysis and Visualization, Problem Solving and Analysis, Communication"
Data Science,"Data Analysis and Visualization, Critical Thinking, Database Development, Communication, Big Data Technologies, Feature Engineering, Statistical Analysis"
